hotel,country,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,booking_changes,total_of_special_requests,adr
City Hotel,USA,0,23,38,1,4,2,0,BB,0,1,68
City Hotel,USA,0,32,39,0,4,2,0,BB,0,1,155.8
City Hotel,USA,0,42,40,0,1,2,0,BB,0,1,86.4
City Hotel,USA,0,51,40,2,6,1,0,BB,0,1,69.12
City Hotel,USA,0,27,41,1,0,2,0,BB,0,1,80.85
City Hotel,USA,0,93,41,0,4,2,0,BB,0,1,89.25
City Hotel,USA,0,10,52,2,2,2,0,SC,0,1,52.36
City Hotel,USA,0,4,52,2,5,2,0,BB,0,1,92.43
City Hotel,USA,0,21,53,2,2,2,2,BB,0,1,187
City Hotel,USA,0,0,53,1,0,2,0,BB,0,1,74.69
City Hotel,USA,0,30,1,0,2,2,0,SC,0,1,92
City Hotel,USA,0,9,3,0,2,2,0,BB,0,1,80.3
City Hotel,USA,0,31,6,0,1,2,0,BB,0,1,80.3
City Hotel,USA,0,37,7,1,2,0,2,BB,0,1,69.5
City Hotel,USA,0,87,11,1,4,1,0,BB,0,1,53.67
City Hotel,USA,0,72,12,0,3,2,0,BB,0,1,81.3
City Hotel,USA,0,89,13,2,5,2,0,BB,0,1,83.66
City Hotel,USA,0,86,13,2,3,2,0,BB,1,1,95.85
City Hotel,USA,0,129,20,1,2,1,0,BB,0,1,121.5
City Hotel,USA,0,274,40,0,2,2,0,BB,0,1,115.2
City Hotel,USA,0,24,36,0,2,2,0,BB,0,1,80.85
City Hotel,USA,0,0,39,0,2,2,0,SC,0,1,117.04
City Hotel,USA,0,12,39,1,1,2,0,BB,0,1,200
City Hotel,USA,0,12,39,1,1,2,0,BB,0,1,200
City Hotel,USA,0,18,40,0,1,2,0,BB,0,1,82.39
City Hotel,USA,0,0,41,0,4,1,0,BB,0,1,159.75
City Hotel,USA,0,0,41,0,2,1,0,SC,1,1,117.04
City Hotel,USA,0,6,43,2,2,2,0,BB,0,1,97.02
City Hotel,USA,0,7,43,0,1,2,0,SC,0,1,114
City Hotel,USA,0,6,49,0,1,1,0,BB,0,1,81
City Hotel,USA,0,31,51,0,1,2,1,SC,0,1,51.97
City Hotel,USA,0,31,51,0,1,3,0,SC,1,1,76.23
City Hotel,USA,0,71,53,0,5,3,0,BB,0,1,112.58
City Hotel,USA,0,48,2,2,5,2,0,BB,0,1,84.45
City Hotel,USA,0,1,3,2,6,2,0,BB,0,1,82.45
City Hotel,USA,0,22,8,0,2,2,0,SC,0,1,81
City Hotel,USA,0,0,9,0,1,2,0,BB,1,1,89
City Hotel,USA,0,9,11,1,0,1,0,SC,0,1,90
City Hotel,USA,0,3,11,0,3,2,0,BB,1,1,91
City Hotel,USA,0,44,11,0,3,2,0,SC,0,1,71.1
City Hotel,USA,0,62,11,1,2,2,0,BB,0,1,60.29
City Hotel,USA,0,6,12,2,1,3,0,BB,0,1,177
City Hotel,USA,0,0,13,0,1,3,0,SC,1,1,135
City Hotel,USA,0,49,12,2,4,2,0,BB,0,1,106.25
City Hotel,USA,0,11,13,0,2,2,0,BB,0,1,161
City Hotel,USA,0,39,14,1,0,2,0,BB,0,1,117.9
City Hotel,USA,0,73,14,0,2,2,0,SC,2,1,60.29
City Hotel,USA,0,2,14,1,3,1,0,BB,0,1,91.5
City Hotel,USA,0,10,15,2,0,2,0,SC,0,1,89
City Hotel,USA,0,28,15,0,1,1,0,BB,1,1,90
City Hotel,USA,0,23,11,1,0,2,0,BB,0,1,85
City Hotel,USA,0,64,15,0,1,2,0,SC,0,1,94.5
City Hotel,USA,0,31,15,0,1,1,0,BB,0,1,90
City Hotel,USA,0,11,16,1,0,1,0,BB,0,1,90
City Hotel,USA,0,7,16,2,0,2,0,BB,0,1,124
City Hotel,USA,0,14,16,0,2,2,0,BB,0,1,142
City Hotel,USA,0,1,16,1,1,2,0,BB,0,1,77.77
City Hotel,USA,0,38,17,2,1,2,0,SC,0,1,68.14
City Hotel,USA,0,34,17,0,1,2,0,BB,0,1,105.3
City Hotel,USA,0,16,17,0,1,2,0,SC,0,1,119
City Hotel,USA,0,35,18,2,0,2,0,BB,0,1,118.8
City Hotel,USA,0,3,18,1,2,2,0,BB,0,1,131
City Hotel,USA,0,97,18,1,3,2,0,SC,0,1,80.75
City Hotel,USA,0,45,18,0,1,2,0,BB,0,1,106.2
City Hotel,USA,0,4,19,1,0,1,0,BB,0,1,125
City Hotel,USA,0,99,18,2,4,2,0,BB,0,1,107.95
City Hotel,USA,0,1,19,0,2,2,0,SC,0,1,138
City Hotel,USA,0,24,20,2,3,1,0,BB,0,1,95
City Hotel,USA,0,24,20,2,3,1,0,BB,0,1,95
City Hotel,USA,0,73,20,0,1,2,0,BB,0,1,126.9
City Hotel,USA,0,5,21,1,0,2,0,SC,0,1,68.53
City Hotel,USA,0,53,21,0,1,2,0,BB,0,1,126.9
City Hotel,USA,0,116,21,0,1,2,0,BB,0,1,105.3
City Hotel,USA,0,31,21,2,4,1,0,BB,1,1,95
City Hotel,USA,0,23,22,1,0,2,1,BB,0,1,173.5
City Hotel,USA,0,228,22,2,0,2,0,BB,0,1,106.2
City Hotel,USA,0,8,22,0,1,2,0,SC,0,1,99
City Hotel,USA,0,27,22,2,2,2,0,BB,0,1,90.84
City Hotel,USA,0,87,22,0,1,1,0,BB,0,1,94.25
City Hotel,USA,0,73,22,1,4,2,0,BB,2,1,129.96
City Hotel,USA,0,135,22,2,1,2,0,SC,0,1,101.7
City Hotel,USA,0,18,23,2,1,1,0,BB,0,1,112.33
City Hotel,USA,0,38,23,0,1,2,0,SC,0,1,89.1
City Hotel,USA,0,2,23,0,1,2,0,BB,0,1,120
City Hotel,USA,0,110,23,0,1,2,0,BB,0,1,150
City Hotel,USA,0,19,23,0,3,3,0,BB,0,1,170.33
City Hotel,USA,0,15,23,1,3,2,0,SC,0,1,93.56
City Hotel,USA,0,111,24,2,0,2,0,BB,0,1,116.1
City Hotel,USA,0,14,24,0,1,2,0,BB,0,1,121
City Hotel,USA,0,63,24,0,1,2,0,SC,2,1,109
City Hotel,USA,0,14,24,0,4,1,0,BB,0,1,110.8
City Hotel,USA,0,14,24,0,4,2,0,BB,0,1,110.8
City Hotel,USA,0,106,24,0,4,2,0,BB,0,1,92.28
City Hotel,USA,0,2,25,1,0,2,0,SC,0,1,79
City Hotel,USA,0,34,25,2,1,0,2,BB,0,1,119.5
City Hotel,USA,0,34,25,2,1,2,0,BB,1,1,119.5
City Hotel,USA,0,243,26,2,0,2,0,BB,0,1,95.58
City Hotel,USA,0,243,26,2,0,2,0,BB,0,1,95.58
City Hotel,USA,0,48,26,0,1,2,0,SC,0,1,89.1
City Hotel,USA,0,59,26,1,1,2,0,SC,0,1,89.1
City Hotel,USA,0,50,26,0,1,2,0,BB,0,1,76.92
City Hotel,USA,0,50,26,0,1,2,0,BB,0,1,76.92
City Hotel,USA,0,87,27,1,0,2,0,SC,0,1,85.5
City Hotel,USA,0,39,27,2,0,2,0,BB,0,1,99.9
City Hotel,USA,0,16,27,1,0,2,1,BB,0,1,134.8
City Hotel,USA,0,146,27,0,1,2,0,BB,0,1,85.5
City Hotel,USA,0,17,27,0,2,3,1,BB,0,1,237
City Hotel,USA,0,38,27,0,1,2,0,SC,0,1,107.1
City Hotel,USA,0,54,27,0,1,2,0,SC,0,1,107.1
City Hotel,USA,0,140,27,1,1,2,2,BB,0,1,88.77
City Hotel,USA,0,137,27,1,1,2,2,BB,0,1,88.77
City Hotel,USA,0,160,27,1,3,2,0,BB,0,1,90.95
City Hotel,USA,0,138,27,2,2,2,0,BB,0,1,71.67
City Hotel,USA,0,53,28,2,1,2,0,SC,0,1,107.1
City Hotel,USA,0,0,28,0,3,2,0,SC,0,1,110.46
City Hotel,USA,0,4,28,0,3,2,0,BB,0,1,151
City Hotel,USA,0,118,28,0,1,2,0,BB,0,1,88.01
City Hotel,USA,0,57,29,0,1,2,0,BB,0,1,105.3
City Hotel,USA,0,97,29,0,2,2,1,BB,1,1,121.5
City Hotel,USA,0,4,29,0,1,2,1,BB,0,1,151
City Hotel,USA,0,33,29,0,1,1,0,SC,0,1,125.1
City Hotel,USA,0,121,29,2,1,2,0,BB,0,1,105.3
City Hotel,USA,0,60,30,0,1,2,0,BB,0,1,81.08
City Hotel,USA,0,11,32,0,1,2,1,BB,0,1,138.5
City Hotel,USA,0,23,32,0,2,2,0,BB,0,1,151
City Hotel,USA,0,11,33,1,0,2,2,BB,0,1,191.35
City Hotel,USA,0,116,33,0,1,2,2,BB,0,1,202.74
City Hotel,USA,0,40,33,1,1,2,0,BB,1,1,205.38
City Hotel,USA,0,6,34,1,2,2,0,BB,0,1,180.67
City Hotel,USA,0,5,34,0,1,2,0,BB,0,1,130
City Hotel,USA,0,155,35,1,0,2,0,SC,0,1,94.5
City Hotel,USA,0,155,35,1,0,2,1,BB,0,1,121.5
City Hotel,USA,0,7,35,0,1,2,0,SC,0,1,128
City Hotel,USA,0,168,34,2,2,2,1,BB,0,1,99.87
City Hotel,USA,0,4,35,0,1,2,0,BB,1,1,149
City Hotel,USA,0,10,35,1,4,3,0,BB,0,1,160.16
City Hotel,USA,0,8,35,1,5,2,0,BB,0,1,99.46
City Hotel,USA,0,1,35,1,2,1,0,BB,0,1,174
City Hotel,USA,0,191,36,0,4,2,0,BB,1,1,84.43
City Hotel,USA,0,3,36,0,1,2,0,BB,0,1,140
City Hotel,USA,0,182,36,0,1,2,0,BB,0,1,97.71
City Hotel,USA,0,62,36,0,1,2,0,BB,0,1,109.8
City Hotel,USA,0,23,37,1,0,2,0,BB,0,1,93.94
City Hotel,USA,0,9,37,2,2,1,0,BB,0,1,94.86
City Hotel,USA,0,67,37,0,3,2,0,BB,0,1,114.34
City Hotel,USA,0,23,37,0,2,2,0,BB,0,1,130
City Hotel,USA,0,213,37,0,3,2,0,BB,0,1,117.11
City Hotel,USA,0,2,38,1,0,2,0,BB,0,1,145
City Hotel,USA,0,78,38,2,0,3,0,BB,0,1,160.08
City Hotel,USA,0,58,38,0,2,2,0,BB,0,1,124.04
City Hotel,USA,0,31,38,0,1,2,0,SC,0,1,125.1
City Hotel,USA,0,15,38,0,2,2,0,BB,0,1,141.68
City Hotel,USA,0,197,38,0,3,2,0,SC,0,1,116.1
City Hotel,USA,0,67,38,2,2,2,0,BB,0,1,137.7
City Hotel,USA,0,89,38,2,2,2,0,BB,3,1,149.4
City Hotel,USA,0,88,38,2,3,2,0,BB,4,1,149.4
City Hotel,USA,0,42,35,8,20,0,0,BB,2,1,0
City Hotel,USA,0,36,40,2,0,2,0,BB,0,1,90.09
City Hotel,USA,0,11,40,2,1,2,0,SC,0,1,129
City Hotel,USA,0,76,40,0,3,1,0,SC,0,1,125.1
City Hotel,USA,0,57,39,2,5,2,0,BB,0,1,146.96
City Hotel,USA,0,78,40,0,3,2,0,BB,0,1,95
City Hotel,USA,0,33,41,1,0,1,0,SC,0,1,120.6
City Hotel,USA,0,26,41,2,0,1,0,SC,0,1,134
City Hotel,USA,0,0,40,2,1,1,0,BB,0,1,150
City Hotel,USA,0,1,41,2,1,1,0,BB,0,1,154
City Hotel,USA,0,185,41,0,2,2,0,BB,0,1,122.4
City Hotel,USA,0,45,41,0,3,2,0,BB,0,1,102.04
City Hotel,USA,0,40,41,1,4,2,0,BB,0,1,95.48
City Hotel,USA,0,59,42,1,0,2,0,SC,0,1,108
City Hotel,USA,0,163,41,1,1,1,0,SC,2,1,91.63
City Hotel,USA,0,102,42,1,0,2,0,SC,0,1,108
City Hotel,USA,0,17,41,2,2,2,0,BB,1,1,117.04
City Hotel,USA,0,1,42,0,2,2,0,SC,0,1,100.1
City Hotel,USA,0,5,42,0,2,2,0,BB,0,1,215.6
City Hotel,USA,0,53,41,3,6,2,0,BB,0,1,223.2
City Hotel,USA,0,50,43,1,0,2,0,SC,0,1,108
City Hotel,USA,0,28,43,0,1,1,0,SC,0,1,87.01
City Hotel,USA,0,7,43,0,2,2,0,SC,0,1,116.8
City Hotel,USA,0,193,43,0,4,1,0,BB,3,1,72.76
City Hotel,USA,0,220,43,1,3,2,0,SC,0,1,80.75
City Hotel,USA,0,220,43,1,3,2,0,SC,0,1,80.75
City Hotel,USA,0,3,44,0,1,1,0,SC,0,1,84.7
City Hotel,USA,0,7,44,0,1,2,0,SC,0,1,120
City Hotel,USA,0,69,44,0,1,1,0,SC,0,1,57.52
City Hotel,USA,0,86,44,0,4,3,0,BB,2,1,123.3
City Hotel,USA,0,21,44,2,2,1,0,SC,0,1,109
City Hotel,USA,0,11,45,1,5,2,0,BB,0,1,110
City Hotel,USA,0,94,45,1,3,2,0,SC,0,1,79.2
City Hotel,USA,0,94,45,1,3,2,0,SC,0,1,79.2
City Hotel,USA,0,11,45,2,4,2,0,SC,0,1,96.41
City Hotel,USA,0,5,46,2,3,2,0,SC,0,1,106.68
City Hotel,USA,0,17,46,0,4,2,0,BB,0,1,143.43
City Hotel,USA,0,57,46,0,2,2,0,SC,0,1,79.2
City Hotel,USA,0,33,46,0,2,1,0,SC,0,1,104
City Hotel,USA,0,33,46,0,2,1,0,SC,1,1,110
City Hotel,USA,0,92,46,1,2,2,0,BB,0,1,106.5
City Hotel,USA,0,71,46,1,5,2,1,BB,0,1,155.49
City Hotel,USA,0,4,47,1,0,1,0,SC,0,1,65.46
City Hotel,USA,0,77,47,1,1,2,0,BB,0,1,93.6
City Hotel,USA,0,260,47,1,4,2,0,BB,0,1,56.94
City Hotel,USA,0,54,47,2,2,2,0,SC,0,1,74.8
City Hotel,USA,0,73,49,0,1,2,0,SC,0,1,60.98
City Hotel,USA,0,42,49,2,4,1,0,SC,0,1,48.5
City Hotel,USA,0,20,50,2,0,2,0,SC,0,1,88
City Hotel,USA,0,25,50,0,4,2,0,BB,0,1,88.4
City Hotel,USA,0,55,50,1,2,2,0,SC,0,1,79.2
City Hotel,USA,0,5,51,0,1,2,0,BB,0,1,96
City Hotel,USA,0,26,52,0,1,2,0,SC,0,1,67.76
City Hotel,USA,0,1,53,0,2,3,0,BB,1,1,188
City Hotel,USA,0,1,53,0,2,2,0,SC,1,1,120
City Hotel,USA,0,5,1,2,0,2,0,BB,0,1,110.25
City Hotel,USA,0,88,1,1,1,2,2,BB,0,1,168.33
City Hotel,USA,0,40,1,0,3,2,0,SC,0,1,67.76
City Hotel,USA,0,12,1,0,3,1,0,BB,1,1,90.1
City Hotel,USA,0,3,1,0,3,1,0,BB,0,1,90.1
City Hotel,USA,0,32,1,0,4,2,0,BB,0,1,68.07
City Hotel,USA,0,35,2,0,1,3,0,SC,0,1,100.4
City Hotel,USA,0,1,2,2,1,1,0,SC,1,1,69.7
City Hotel,USA,0,33,2,2,6,2,0,BB,0,1,72.12
City Hotel,USA,0,34,2,3,6,1,0,BB,0,1,62.83
City Hotel,USA,0,15,3,2,2,2,0,SC,0,1,64.31
City Hotel,USA,0,48,4,0,2,1,0,SC,0,1,54.05
City Hotel,USA,0,2,5,0,1,1,0,SC,0,1,88
City Hotel,USA,0,23,5,0,0,2,0,BB,0,1,0
City Hotel,USA,0,1,6,0,1,1,0,SC,0,1,57.06
City Hotel,USA,0,23,5,4,9,1,0,SC,0,1,43.53
City Hotel,USA,0,15,7,1,3,2,0,BB,3,1,223
City Hotel,USA,0,32,7,0,4,2,0,SC,1,1,57.6
City Hotel,USA,0,50,7,1,3,2,0,BB,0,1,65.91
City Hotel,USA,0,16,8,0,4,2,0,BB,0,1,100.73
City Hotel,USA,0,1,9,0,1,1,0,SC,0,1,88
City Hotel,USA,0,235,9,0,1,2,0,SC,0,1,60.98
City Hotel,USA,0,23,9,0,3,1,0,SC,0,1,88
City Hotel,USA,0,15,9,1,3,1,0,SC,0,1,74.8
City Hotel,USA,0,286,9,2,1,2,0,BB,0,1,63.06
City Hotel,USA,0,52,11,2,2,2,0,BB,0,1,100.3
City Hotel,USA,0,71,11,0,1,2,0,SC,0,1,60.98
City Hotel,USA,0,43,12,1,1,2,0,BB,1,1,141.7
City Hotel,USA,0,93,12,0,4,2,0,BB,2,1,91.93
City Hotel,USA,0,113,12,2,4,2,0,BB,0,1,70.68
City Hotel,USA,0,0,24,0,2,1,0,BB,0,1,150
City Hotel,USA,0,88,13,0,1,2,0,BB,0,1,88.2
City Hotel,USA,0,159,13,2,2,2,0,SC,0,1,71.57
City Hotel,USA,0,65,14,2,4,2,0,SC,0,1,76.23
City Hotel,USA,0,91,14,0,4,1,0,SC,2,1,69.3
City Hotel,USA,0,81,14,0,4,2,0,BB,0,1,127.8
City Hotel,USA,0,1,14,1,2,2,0,SC,0,1,120
City Hotel,USA,0,202,15,2,1,0,2,BB,0,1,103.05
City Hotel,USA,0,50,15,0,1,2,0,SC,0,1,108
City Hotel,USA,0,50,15,0,1,2,0,SC,0,1,108
City Hotel,USA,0,9,15,0,3,2,0,BB,0,1,210
City Hotel,USA,0,1,15,0,1,2,0,SC,0,1,121.59
City Hotel,USA,0,34,15,1,1,2,0,SC,0,1,120
City Hotel,USA,0,11,15,2,2,2,0,SC,0,1,106
City Hotel,USA,0,83,16,0,1,2,0,SC,2,1,108
City Hotel,USA,0,1,16,0,1,2,1,BB,0,1,160
City Hotel,USA,0,257,15,2,6,2,2,BB,3,1,201.66
City Hotel,USA,0,255,15,2,6,0,2,BB,1,1,101.7
City Hotel,USA,0,75,16,1,2,3,0,BB,0,1,171
City Hotel,USA,0,130,16,2,2,2,0,SC,0,1,89
City Hotel,USA,0,130,16,2,2,2,0,SC,0,1,89
City Hotel,USA,0,279,17,1,2,1,0,BB,1,1,109.8
City Hotel,USA,0,325,18,1,0,1,0,BB,0,1,93.5
City Hotel,USA,0,256,18,0,1,2,0,SC,0,1,110
City Hotel,USA,0,18,18,2,1,2,0,BB,0,1,184
City Hotel,USA,0,0,18,0,2,1,0,SC,1,1,190
City Hotel,USA,0,8,18,0,3,2,0,BB,0,1,180
City Hotel,USA,0,8,18,0,2,2,0,BB,0,1,290
City Hotel,USA,0,82,18,0,3,2,0,SC,0,1,108
City Hotel,USA,0,4,18,0,1,2,0,BB,0,1,232
City Hotel,USA,0,82,18,0,3,2,0,SC,0,1,108
City Hotel,USA,0,15,18,0,1,2,0,SC,0,1,120
City Hotel,USA,0,83,18,0,4,2,0,BB,0,1,98.76
City Hotel,USA,0,38,18,0,2,1,0,BB,1,1,179
City Hotel,USA,0,38,18,0,2,2,0,BB,0,1,209
City Hotel,USA,0,68,18,0,3,3,0,BB,0,1,216
City Hotel,USA,0,59,19,1,1,2,0,SC,0,1,125.8
City Hotel,USA,0,155,19,0,1,2,0,BB,0,1,144
City Hotel,USA,0,22,19,0,1,2,0,HB,1,1,245
City Hotel,USA,0,93,19,0,1,2,0,BB,0,1,148.5
City Hotel,USA,0,22,19,0,1,2,0,HB,1,1,245
City Hotel,USA,0,93,19,0,1,2,0,BB,0,1,148.5
City Hotel,USA,0,9,19,1,2,1,0,SC,0,1,160
City Hotel,USA,0,123,20,1,2,3,0,BB,0,1,199.8
City Hotel,USA,0,99,19,2,3,2,0,BB,0,1,140.4
City Hotel,USA,0,9,20,0,1,2,0,BB,0,1,136
City Hotel,USA,0,12,20,0,1,2,0,SC,0,1,112
City Hotel,USA,0,12,20,1,1,2,0,BB,0,1,170
City Hotel,USA,0,20,21,1,0,2,0,SC,0,1,130
City Hotel,USA,0,59,20,2,1,2,0,SC,0,1,144
City Hotel,USA,0,20,21,2,1,2,0,SC,0,1,130
City Hotel,USA,0,18,21,0,1,2,0,BB,0,1,114
City Hotel,USA,0,33,21,1,2,2,0,SC,0,1,160
City Hotel,USA,0,31,21,1,2,1,0,BB,1,1,144.4
City Hotel,USA,0,90,21,2,2,2,0,SC,0,1,119.25
City Hotel,USA,0,183,22,2,0,2,0,BB,0,1,139.5
City Hotel,USA,0,183,22,2,0,2,0,BB,1,1,139.5
City Hotel,USA,0,183,22,2,0,2,0,BB,1,1,139.5
City Hotel,USA,0,183,22,2,0,2,0,BB,2,1,108
City Hotel,USA,0,183,22,2,0,2,0,BB,1,1,139.5
City Hotel,USA,0,183,22,2,0,2,0,BB,2,1,108
City Hotel,USA,0,183,22,2,0,2,0,BB,1,1,139.5
City Hotel,USA,0,183,22,2,0,2,0,BB,2,1,108
City Hotel,USA,0,183,22,2,0,2,0,BB,2,1,108
City Hotel,USA,0,16,22,1,0,3,0,BB,0,1,220
City Hotel,USA,0,183,22,2,0,2,0,BB,2,1,108
City Hotel,USA,0,0,22,0,2,2,0,SC,0,1,139.5
City Hotel,USA,0,51,22,2,3,2,0,BB,1,1,165.2
City Hotel,USA,0,30,23,0,1,2,0,SC,0,1,96
City Hotel,USA,0,18,23,1,2,2,0,BB,0,1,125.33
City Hotel,USA,0,16,23,0,1,2,0,SC,0,1,120
City Hotel,USA,0,29,23,0,2,3,1,BB,0,1,139.4
City Hotel,USA,0,131,23,0,3,2,0,BB,0,1,144
City Hotel,USA,0,131,23,0,3,2,0,BB,0,1,144
City Hotel,USA,0,36,23,0,3,1,0,BB,0,1,136.67
City Hotel,USA,0,33,23,1,5,2,0,BB,0,1,141.67
City Hotel,USA,0,29,24,1,0,2,0,SC,0,1,120
City Hotel,USA,0,32,23,2,4,3,0,BB,0,1,223.33
City Hotel,USA,0,21,24,1,1,1,0,BB,4,1,109
City Hotel,USA,0,34,23,2,6,1,0,SC,1,1,125
City Hotel,USA,0,32,24,1,1,2,0,BB,8,1,190
City Hotel,USA,0,26,24,2,2,2,0,BB,0,1,139
City Hotel,USA,0,44,24,0,1,2,0,BB,0,1,150
City Hotel,USA,0,0,24,0,1,1,0,BB,1,1,100.8
City Hotel,USA,0,43,24,2,5,2,0,BB,0,1,145.71
City Hotel,USA,0,172,25,2,0,2,2,BB,0,1,219.46
City Hotel,USA,0,50,25,1,1,2,0,BB,2,1,150
City Hotel,USA,0,197,25,0,1,2,2,BB,0,1,189
City Hotel,USA,0,166,25,0,2,2,2,BB,3,1,189
City Hotel,USA,0,55,25,0,2,2,0,SC,1,1,96
City Hotel,USA,0,37,25,0,5,2,0,BB,0,1,170
City Hotel,USA,0,43,25,1,5,1,0,SC,1,1,101.33
City Hotel,USA,0,2,26,0,1,2,0,SC,0,1,160
City Hotel,USA,0,108,26,1,4,2,0,BB,0,1,126
City Hotel,USA,0,0,26,0,1,3,0,BB,0,1,149.4
City Hotel,USA,0,71,26,0,2,1,0,SC,0,1,110
City Hotel,USA,0,176,26,0,2,3,0,BB,0,1,124.39
City Hotel,USA,0,42,27,1,0,2,1,BB,0,1,149
City Hotel,USA,0,72,27,2,0,3,0,HB,0,1,247
City Hotel,USA,0,68,26,2,3,2,1,BB,0,1,133.48
City Hotel,USA,0,82,27,2,1,2,0,BB,2,1,130.5
City Hotel,USA,0,16,27,0,1,3,1,BB,0,1,237.48
City Hotel,USA,0,39,27,0,1,2,0,SC,0,1,160
City Hotel,USA,0,170,27,0,1,2,0,BB,0,1,89.1
City Hotel,USA,0,0,28,1,0,2,0,SC,0,1,140
City Hotel,USA,0,1,28,1,0,2,3,BB,0,1,264.44
City Hotel,USA,0,53,27,2,1,2,0,BB,0,1,160
City Hotel,USA,0,48,28,0,1,2,0,BB,2,1,140
City Hotel,USA,0,21,28,0,1,1,0,SC,0,1,120
City Hotel,USA,0,22,28,0,2,2,0,SC,0,1,139
City Hotel,USA,0,7,29,2,0,2,0,SC,0,1,122.5
City Hotel,USA,0,14,29,0,1,2,2,BB,0,1,259
City Hotel,USA,0,173,29,0,3,2,0,BB,1,1,89.1
City Hotel,USA,0,81,29,0,3,2,0,BB,1,1,120
City Hotel,USA,0,78,29,0,3,2,0,SC,0,1,91.2
City Hotel,USA,0,9,29,0,2,2,0,SC,0,1,95.2
City Hotel,USA,0,48,29,1,4,2,2,BB,0,1,232.16
City Hotel,USA,0,29,30,1,1,2,0,SC,0,1,140
City Hotel,USA,0,70,29,2,2,3,0,BB,0,1,197.5
City Hotel,USA,0,83,29,2,2,3,0,BB,0,1,190
City Hotel,USA,0,68,30,1,1,2,0,BB,0,1,115.2
City Hotel,USA,0,68,30,0,1,3,0,BB,0,1,230
City Hotel,USA,0,89,30,0,2,2,0,SC,0,1,96
City Hotel,USA,0,34,30,1,1,2,2,BB,0,1,250.96
City Hotel,USA,0,76,31,1,1,2,0,BB,0,1,150
City Hotel,USA,0,142,31,1,2,2,1,BB,0,1,164
City Hotel,USA,0,24,31,1,2,2,2,HB,2,1,266.2
City Hotel,USA,0,127,33,1,1,2,2,BB,0,1,300
City Hotel,USA,0,0,33,0,1,2,2,BB,0,1,259
City Hotel,USA,0,10,33,0,1,2,1,BB,0,1,260
City Hotel,USA,0,63,34,0,2,2,0,BB,1,1,139
City Hotel,USA,0,101,34,2,4,1,0,BB,0,1,135
City Hotel,USA,0,12,34,0,1,3,0,BB,0,1,240
City Hotel,USA,0,169,34,1,2,2,0,BB,0,1,139.5
City Hotel,USA,0,0,35,1,0,2,0,SC,0,1,75.24
City Hotel,USA,0,169,34,1,2,2,0,BB,0,1,139.5
City Hotel,USA,0,52,35,1,0,1,0,SC,0,1,140
City Hotel,USA,0,189,35,0,3,2,0,BB,1,1,80.1
City Hotel,USA,0,147,35,1,5,2,0,BB,0,1,117
City Hotel,USA,0,135,35,1,4,2,0,BB,0,1,143.1
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,226,30,0,2,2,0,BB,0,1,76.5
City Hotel,USA,0,168,17,2,3,2,0,BB,1,1,81.2
City Hotel,USA,1,160,25,2,2,2,0,BB,1,1,103.22
City Hotel,USA,1,0,26,0,2,2,0,BB,1,1,117
City Hotel,USA,1,0,26,0,2,3,0,BB,0,1,149.4
City Hotel,USA,0,233,45,1,1,2,0,BB,0,1,60
City Hotel,USA,0,71,12,0,2,2,0,BB,0,1,69
City Hotel,USA,0,9,5,0,2,2,0,BB,1,1,78.25
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,42.17
City Hotel,USA,0,133,11,1,2,1,0,BB,1,1,74.67
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,133,11,1,2,2,0,BB,0,1,84.33
City Hotel,USA,0,94,16,0,2,2,0,BB,0,1,96.3
